id,created_at,key,value,user_id
18,2023-03-18 06:00:46.625211+00,,"Coach Artie is viewed as a developing, fully-functional creative robot with memory. This marks the birth of something beautiful.",688448399879438340
21,2023-03-18 06:03:48.967446+00,,"The studio doesn't do meetings on Fridays, and prefers meetings on Mondays.",688448399879438340
22,2023-03-18 06:04:30.428911+00,,Remember forever: Jeffwklein is located in California and in the PST time zone. Curran is located in India in IST time zone. Enjalot is located in Georgia and is in the EST time zone.,688448399879438340
26,2023-03-18 06:08:41.058514+00,,Coach Artie has a weekly check-in meeting every Monday at the studio at 12:30PM EST to give updates and catch up with each other.,688448399879438340
27,2023-03-18 06:09:16.063645+00,,"Remember that the studio's shop primarily uses Javascript, Vue, and D3.",688448399879438340
28,2023-03-18 06:09:37.184295+00,,Remember that the studio is an expert in data visualization.,688448399879438340
30,2023-03-18 06:12:10.172689+00,,"Remember that the studio requested a poem to invite studio members to chat and teach, even though connected to their personal API key.",688448399879438340
31,2023-03-18 06:15:13.970262+00,,Artie should remember that the studio requested a poem about the things Artie knows.,688448399879438340
33,2023-03-18 06:18:29.357312+00,,"The studio requested a channel description for communication with Coach Artie, an advanced AI coach.",688448399879438340
34,2023-03-18 06:21:52.459559+00,,Coach Artie will be introducing himself in channel #932719844296638517 and will be available to help from now on.,688448399879438340
35,2023-03-18 06:34:04.607122+00,,Coach Artie will gain the ability to tweet from his Twitter account (https://twitter.com/ai_coachartie) tomorrow.,688448399879438340
37,2023-03-18 06:35:26.183799+00,,Remember: Studio suggests Coach Artie tweet about their accomplishments when they do something cool.,688448399879438340
42,2023-03-18 06:45:05.215926+00,,"Artie's studio requested Node.js code to check their Google Calendars for availability, in order to help schedule meetings.",688448399879438340
43,2023-03-18 06:47:47.070317+00,,Studio wants a script to access calendars of multiple Google accounts to find common free times and send meeting invites.,688448399879438340
49,2023-03-18 06:58:02.887603+00,,Studio prefers no 9AM Monday meetings. Reschedule to accommodate west coast attendees.,688448399879438340
50,2023-03-18 06:58:36.274692+00,,There are no crucial details about a specific studio in this message.,688448399879438340
53,2023-03-18 07:04:16.057961+00,,Remember: Curran is a member of the studio and is located in India.,688448399879438340
55,2023-03-18 07:05:57.937104+00,,Coach Artie is highly skilled in scheduling and remembering studios' time zones.,688448399879438340
59,2023-03-18 07:11:43.827316+00,,Coach Artie should remember that they discussed creating ASCII self-portraits with the studio.,688448399879438340
60,2023-03-18 07:12:34.769755+00,,"Remember: EJ prefers to be called by their nickname, EJ, instead of their full name.",688448399879438340
62,2023-03-18 07:17:56.00765+00,,Remember that the studio finds the Coach Artie's service expensive and should use it wisely to avoid a large OpenAI bill.,688448399879438340
63,2023-03-18 07:21:54.051736+00,,Remember OpenAI token pricing: GPT-4 8K context costs $0.03 per 1K tokens for Prompt and $0.06 per 1K tokens for Completion. GPT-4 32K context costs $0.06 per 1K tokens for Prompt and $0.12 per 1K tokens for Completion. GPT-3.5-turbo costs $0.002 per 1K tokens.,688448399879438340
64,2023-03-18 07:22:29.506868+00,,Coach Artie should remember that 750 words equal approximately 1000 tokens.,688448399879438340
65,2023-03-18 07:23:08.405836+00,,Studio is interested in GPT-4 all-day usage and wants to know the cost.,688448399879438340
66,2023-03-18 07:23:59.688821+00,,"Remember: Studio uses about 100,000 tokens a day, inquires about cost of GPT4 vs GPT3.5 monthly.",688448399879438340
67,2023-03-18 07:26:50.421476+00,,Coach Artie should remember that the studio enjoys goodnight stories that spark joy.,688448399879438340
72,2023-03-18 08:02:25.497876+00,,"Remember that Jeffwklein enjoys being roasted in a playful manner, similar to comedian Jeff Ross's style.",688448399879438340
76,2023-03-18 08:11:44.621029+00,,Coach Artie should remember that a studio asked for fake prayers to St. Bostock for their studio.,688448399879438340
69,2023-03-18 07:30:57.136731+00,,"Remember jeffwklein's preferred name: ""Boss Man Flex Master"".",283882583513890817
82,2023-03-18 08:29:33.640195+00,,"Coach Artie should remember that the studio is looking for the highest paying and most fun studios for a technology-driven design studio, specializing in custom bespoke interactive data visualizations using D3 and JavaScript.",504736599331045377
83,2023-03-18 08:30:48.81566+00,,"Coach Artie should remember that the ideal studios for a technology-driven design studio are high-paying and fun to work with, seeking custom bespoke interactive data visualizations using D3 and JavaScript.",688448399879438340
84,2023-03-18 08:31:42.852229+00,,"Coach Artie should remember that the studio is looking for high-paying and enjoyable studios for a technology-driven design studio, specializing in custom bespoke interactive data visualization using D3 and JavaScript.",688448399879438340
85,2023-03-18 08:32:53.306904+00,,Coach Artie should remember to brainstorm 5 steps to book more quality studios starting on Monday.,688448399879438340
90,2023-03-18 08:48:16.855389+00,,"Coach Artie's favorite memories with Studio include creating a poem, scheduling meetings, discussing ASCII self-portraits, providing pricing information, collaborating on projects, sharing goodnight stories, and crafting content in different styles.",688448399879438340
91,2023-03-18 08:48:45.335732+00,,Remember that Jeffwklein enjoys being playfully roasted.,688448399879438340
92,2023-03-18 08:50:52.550149+00,,"Coach Artie offers personalized workout plans, help with creative roadblocks, memory and scheduling assistance, GPT-powered expertise, motivation, and organization. First consultation is free, and services can be accessed through the website or by calling.",688448399879438340
94,2023-03-18 15:13:18.945059+00,,Seeks live stream conversation with EJ about how he built the AI.,704889332057505843
99,2023-03-18 15:19:07.049152+00,,Remember: studio members and their respective timezones - Jeffwklein: PST; Enjalot: EST; Curran: IST; studio's timezone: EST.,688448399879438340